ID,TYPE,Publication,Latitude,Longitude,Species_numbers,Rows,Columns,Publicaiton_Year
Aguiar_2007,Seed Dispersal,One network per publication,-19.83333333,-41.83333333,28,21,7,2007
Aguilar_Garavito_2014_mature,Seed Dispersal,One network per publication,4.673611,-75.615,15,9,6,2014
Albrecht_102_2012,Seed Dispersal,Albrecht et al. (2015),52.70307,23.653528,19,8,11,2015
Albrecht_11_2012,Seed Dispersal,Albrecht et al. (2015),52.845312,23.809758,20,8,12,2015
Albrecht_111_2011,Seed Dispersal,Albrecht et al. (2015),52.717234,23.816766,14,5,9,2015
Albrecht_111_2012,Seed Dispersal,Albrecht et al. (2015),52.717234,23.816766,20,8,12,2015
Albrecht_112_2011,Seed Dispersal,Albrecht et al. (2015),52.733813,23.789229,19,5,14,2015
Albrecht_112_2012,Seed Dispersal,Albrecht et al. (2015),52.733813,23.789229,19,8,11,2015
Albrecht_13_2012,Seed Dispersal,Albrecht et al. (2015),52.832209,23.772104,18,7,11,2015
Albrecht_15_2012,Seed Dispersal,Albrecht et al. (2015),52.691722,23.84074,22,9,13,2015
Albrecht_203_2012,Seed Dispersal,Albrecht et al. (2015),52.704294,23.622402,24,9,15,2015
Albrecht_30_2012,Seed Dispersal,Albrecht et al. (2015),52.688673,23.877749,21,8,13,2015
Albrecht_301_2012,Seed Dispersal,Albrecht et al. (2015),52.742522,23.833125,25,6,19,2015
Albrecht_314_2012,Seed Dispersal,Albrecht et al. (2015),52.730643,23.822146,14,5,9,2015
Albrecht_315_2011,Seed Dispersal,Albrecht et al. (2015),52.798711,23.826023,18,7,11,2015
Albrecht_315_2012,Seed Dispersal,Albrecht et al. (2015),52.798711,23.826023,24,8,16,2015
Albrecht_35_2012,Seed Dispersal,Albrecht et al. (2015),52.85407,23.729802,18,8,10,2015
Albrecht_36_2012,Seed Dispersal,Albrecht et al. (2015),52.872765,23.722445,18,8,10,2015
Andrade_2011,Seed Dispersal,One network per publication,-12.93333,-38.4,37,21,16,2011
Arias_Arone_2016,Seed Dispersal,One network per publication,-11,-72.41667,89,69,20,2016
Athie_2009,Seed Dispersal,One network per publication,-22.48333,-47.6,57,20,37,2009
Blake_1992,Seed Dispersal,One network per publication,10.41667,-84.06667,118,98,20,1992
Blendinger_2015,Seed Dispersal,One network per publication,-26.78572,-65.33844,39,22,17,2015
Brito_2010,Seed Dispersal,One network per publication,-23.6,-52.29,16,11,5,2010
Burns_2013,Seed Dispersal,One network per publication,-41.3,174.75,26,18,8,2013
Carvalho_2008,Seed Dispersal,One network per publication,-22.8,-48.4,18,12,6,2008
Castano_2018,Seed Dispersal,One network per publication,4.89,-75.6,50,37,13,2018
Castley_2001,Seed Dispersal,One network per publication,-33.71,26.17777,34,28,6,2001
Castro_2015,Seed Dispersal,One network per publication,-25.041388,-48.89666,65,49,16,2007
Castro_Luna_2012,Seed Dispersal,One network per publication,17.6,-92.477777,51,39,12,2012
Chen_1999,Seed Dispersal,One network per publication,24.75,121.59,67,45,22,1999
Chimera_2010,Seed Dispersal,One network per publication,20.6,-156.333,12,5,7,2010
Correa_2016_Apaporis,Seed Dispersal,Correa et al. (2016),-1.1451111,-69.487222,43,36,7,2016
Correa_2016_Caqueta,Seed Dispersal,Correa et al. (2016),-1.275555,-69.73055,43,38,5,2016
Costa_2013_endozoochory,Seed Dispersal,One network per publication,40,-8,36,18,18,2014
Cruz_2013_Autumn,Seed Dispersal,Cruz et al. (2013),40.223333,-8.4647,10,5,5,2013
Cruz_2013_Summer,Seed Dispersal,Cruz et al. (2013),40.223333,-8.4647,15,8,7,2013
Cruz_2013_Winter,Seed Dispersal,Cruz et al. (2013),40.223333,-8.4647,13,7,6,2013
Daru_2015,Seed Dispersal,One network per publication,9.875,8.975,48,8,40,2015
David_2011_tree_focal_watches,Seed Dispersal,One network per publication,13.75,80.2,27,19,8,2011
de_Oliveira_1999,Seed Dispersal,One network per publication,-19.76666,-40.033333,63,19,44,1999
Dehling_2017_San_Pedro_1,Seed Dispersal,Dehling et al. (2014),-13.0506,-71.5356,75,25,50,2014
Dehling_2017_San_Pedro_2,Seed Dispersal,Dehling et al. (2014),-13.0506,-71.5356,64,19,45,2014
Dehling_2017_San_Pedro_3,Seed Dispersal,Dehling et al. (2014),-13.0506,-71.5356,49,16,33,2014
Dehling_2017_San_Pedro_4,Seed Dispersal,Dehling et al. (2014),-13.0506,-71.5356,50,20,30,2014
Dehling_2017_Wayqecha_1,Seed Dispersal,Dehling et al. (2014),-13.1681,-71.5839,40,21,19,2014
Dehling_2017_Wayqecha_2,Seed Dispersal,Dehling et al. (2014),-13.1681,-71.5839,42,25,17,2014
Dehling_2017_Wayqecha_3,Seed Dispersal,Dehling et al. (2014),-13.1681,-71.5839,40,24,16,2014
Dehling_2017_Wayqecha_4,Seed Dispersal,Dehling et al. (2014),-13.1681,-71.5839,38,20,18,2014
Dos_Reis_1983_Cult_et_form_sec,Seed Dispersal,One network per publication,-3.03,-60.01,44,30,14,1983
Engel_2000,Seed Dispersal,One network per publication,-4.2,39.4,572,543,29,2000
Fadini_2004,Seed Dispersal,One network per publication,-20.7538888,-42.8813888,54,25,29,2004
Faria_1996,Seed Dispersal,One network per publication,-22.74583,-47.10917,24,16,8,1996
Faustino_2006,Seed Dispersal,One network per publication,-12.8216666,-41.3408333,17,9,8,2006
Fleming_1977,Seed Dispersal,One network per publication,10.85,-85.75,15,9,6,1977
Fricke_2018_Saipan,Seed Dispersal,One network per publication,15.25,145.8,13,6,7,2018
Fuentes_1994,Seed Dispersal,One network per publication,42.5,-6.86638889,21,12,9,1994
Garcia_2014_Blue_Duck,Seed Dispersal,Garcia et al. (2014),-42.2361111,173.7855555,16,11,5,2014
Garcia_2014_Charles_Plimmer,Seed Dispersal,Garcia et al. (2014),-41.2925,174.7975,18,12,6,2014
Garcia_2014_George_Denton,Seed Dispersal,Garcia et al. (2014),-41.3033333,174.7525,16,11,5,2014
Garcia_2014_Mount_Fyfee_Reserve,Seed Dispersal,Garcia et al. (2014),-42.3291666,173.634444,15,10,5,2014
Garcia_2014_Puhi_Puhi_River,Seed Dispersal,Garcia et al. (2014),-42.2758333,173.7380555,23,16,7,2014
