"","M_PL_004_column_names","M_PL_006_column_names","M_PL_007_column_names","M_PL_013_column_names","M_PL_017_column_names","M_PL_019_column_names","M_PL_024_column_names","M_PL_025_column_names","M_PL_033_column_names","M_PL_044_column_names","M_PL_045_column_names","M_PL_051_column_names","M_PL_054_column_names","M_PL_055_column_names","M_PL_056_column_names","M_PL_057_column_names","M_PL_058_column_names","M_PL_059_column_names","M_PL_060_01_column_names","M_PL_060_02_column_names","M_PL_060_03_column_names","M_PL_060_04_column_names","M_PL_060_05_column_names","M_PL_060_06_column_names","M_PL_060_07_column_names","M_PL_060_08_column_names","M_PL_060_09_column_names","M_PL_060_10_column_names","M_PL_060_11_column_names","M_PL_060_12_column_names","M_PL_060_13_column_names","M_PL_060_14_column_names","M_PL_060_15_column_names","M_PL_060_16_column_names","M_PL_060_17_column_names","M_PL_060_18_column_names","M_PL_060_19_column_names","M_PL_060_20_column_names","M_PL_060_21_column_names","M_PL_060_22_column_names","M_PL_060_23_column_names","M_PL_060_24_column_names","M_PL_061_01_column_names","M_PL_061_02_column_names","M_PL_061_03_column_names","M_PL_061_04_column_names","M_PL_061_05_column_names","M_PL_061_06_column_names","M_PL_061_07_column_names","M_PL_061_08_column_names","M_PL_061_09_column_names","M_PL_061_10_column_names","M_PL_061_11_column_names","M_PL_061_12_column_names","M_PL_061_13_column_names","M_PL_061_14_column_names","M_PL_061_15_column_names","M_PL_061_16_column_names","M_PL_061_17_column_names","M_PL_061_18_column_names","M_PL_061_19_column_names","M_PL_061_20_column_names","M_PL_061_21_column_names","M_PL_061_22_column_names","M_PL_061_23_column_names","M_PL_061_24_column_names","M_PL_061_25_column_names","M_PL_061_26_column_names","M_PL_061_27_column_names","M_PL_061_28_column_names","M_PL_061_29_column_names","M_PL_061_30_column_names","M_PL_061_31_column_names","M_PL_061_32_column_names","M_PL_061_35_column_names","M_PL_061_36_column_names","M_PL_061_37_column_names","M_PL_061_38_column_names","M_PL_061_39_column_names","M_PL_061_40_column_names","M_PL_061_43_column_names","M_PL_061_44_column_names","M_PL_061_45_column_names","M_PL_061_46_column_names","M_PL_061_47_column_names","M_PL_061_48_column_names","M_PL_063_column_names","M_PL_064_column_names","M_PL_065_column_names","M_PL_067_column_names","M_PL_068_column_names","M_PL_069_01_column_names","M_PL_070_column_names","M_PL_071_column_names","M_PL_073_column_names","M_PL_074_01_column_names","M_PL_074_02_column_names","M_PL_074_03_column_names","M_PL_074_04_column_names","M_PL_074_05_column_names","M_PL_074_06_column_names","M_PL_074_07_column_names","M_PL_074_08_column_names","M_PL_074_09_column_names","M_PL_074_10_column_names","M_PL_074_11_column_names","M_PL_074_12_column_names","M_PL_074_13_column_names","M_PL_074_14_column_names","M_PL_074_15_column_names","M_PL_074_16_column_names","M_PL_074_17_column_names","M_PL_074_18_column_names"
"M_PL_004_column_names",0,0.9875,1,1,0.994413407821229,1,1,0.971631205673759,0.977272727272727,0.997150997150997,1,1,0.995049504950495,1,0.995689655172414,0.998963730569948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.985815602836879,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M_PL_006_column_names",0.9875,0,0.784810126582278,1,0.90625,0.993055555555556,1,1,0.98936170212766,0.998491704374057,1,1,0.994505494505495,0.995967741935484,0.997647058823529,0.998918918918919,0.985611510791367,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M_PL_007_column_names",1,0.784810126582278,0,0.988888888888889,0.914285714285714,0.982905982905983,1,0.987179487179487,0.985294117647059,0.995275590551181,1,1,0.994082840236686,0.990950226244344,0.992443324937028,0.99888765294772,0.982300884955752,0.978723404255319,0.986301369863014,0.986111111111111,0.987341772151899,0.9875,0.988505747126437,0.987179487179487,0.986301369863014,0.983870967741935,0.986301369863014,0.982456140350877,0.981481481481482,0.983050847457627,0.984375,0.985915492957746,0.985915492957746,0.986301369863014,0.985507246376812,0.983870967741935,0.978723404255319,0.980769230769231,0.982142857142857,0.984615384615385,0.983606557377049,0.982456140350877,0.978260869565217,0.980392156862745,0.979166666666667,0.978723404255319,0.982142857142857,0.982758620689655,0.982142857142857,0.981132075471698,0.977272727272727,0.979166666666667,0.977777777777778,0.978260869565217,0.981132075471698,0.977272727272727,0.980769230769231,0.981132075471698,0.975609756097561,0.980769230769231,0.981818181818182,0.977272727272727,0.980769230769231,0.977272727272727,0.983050847457627,0.980769230769231,0.977777777777778,0.978723404255319,0.978723404255319,0.981132075471698,0.980769230769231,0.978723404255319,0.981132075471698,0.980392156862745,0.977272727272727,0.980392156862745,0.981132075471698,0.982456140350877,0.982456140350877,0.983050847457627,0.979591836734694,0.977272727272727,0.982456140350877,0.981818181818182,0.983050847457627,0.979166666666667,1,1,1,1,1,1,1,1,0.986842105263158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M_PL_013_column_names",1,1,0.988888888888889,0,0.992537313432836,0.992805755395683,1,0.98989898989899,0.98876404494382,0.998480243161094,1,1,0.997222222222222,0.995884773662551,0.997619047619048,1,0.992592592592593,0.985294117647059,0.978494623655914,0.978260869565217,0.97979797979798,0.98,0.981308411214953,0.98989898989899,0.978494623655914,0.975609756097561,0.978494623655914,0.974025974025974,0.972972972972973,0.974683544303797,0.976190476190476,0.978021978021978,0.978021978021978,0.978494623655914,0.97752808988764,0.975609756097561,0.970149253731343,0.986301369863014,0.973684210526316,0.976470588235294,0.975308641975309,0.974025974025974,0.985074626865672,0.986111111111111,0.970588235294118,0.985294117647059,0.973684210526316,0.987341772151899,0.987012987012987,0.986486486486487,0.984615384615385,0.985507246376812,0.984848484848485,0.985074626865672,0.986486486486487,0.984615384615385,0.986301369863014,0.986486486486487,0.983870967741935,0.986301369863014,0.986842105263158,0.984615384615385,0.986301369863014,0.984615384615385,0.9875,0.986301369863014,0.984848484848485,0.985294117647059,0.985294117647059,0.986486486486487,0.986301369863014,0.985294117647059,0.986486486486487,0.986111111111111,0.984615384615385,0.986111111111111,0.986486486486487,0.987179487179487,0.987179487179487,0.9875,0.985714285714286,0.984615384615385,0.987179487179487,0.986842105263158,0.9875,0.985507246376812,1,1,1,1,1,1,1,1,0.989690721649485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M_PL_017_column_names",0.994413407821229,0.90625,0.914285714285714,0.992537313432836,0,0.987577639751553,1,0.991803278688525,0.981981981981982,0.995581737849779,0.990291262135922,1,0.984126984126984,0.984790874524715,0.981651376146789,0.995744680851064,0.980769230769231,0.989010989010989,0.991452991452991,0.991379310344828,0.991869918699187,0.991935483870968,0.99236641221374,0.991803278688525,0.991452991452991,0.990566037735849,0.991452991452991,0.99009900990099,0.989795918367347,0.990291262135922,0.990740740740741,0.991304347826087,0.991304347826087,0.991452991452991,0.991150442477876,0.990566037735849,0.989010989010989,0.989583333333333,0.99,0.990825688073394,0.990476190476191,0.99009900990099,0.988888888888889,0.989473684210526,0.989130434782609,0.989010989010989,0.99,0.990196078431373,0.99,0.989690721649485,0.988636363636364,0.989130434782609,0.98876404494382,0.988888888888889,0.989690721649485,0.988636363636364,0.989583333333333,0.989690721649485,0.988235294117647,0.989583333333333,0.98989898989899,0.988636363636364,0.989583333333333,0.988636363636364,0.990291262135922,0.989583333333333,0.98876404494382,0.989010989010989,0.989010989010989,0.989690721649485,0.989583333333333,0.989010989010989,0.989690721649485,0.989473684210526,0.988636363636364,0.989473684210526,0.989690721649485,0.99009900990099,0.99009900990099,0.990291262135922,0.989247311827957,0.988636363636364,0.99009900990099,0.98989898989899,0.990291262135922,0.989130434782609,1,1,1,1,1,1,1,1,0.991666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M_PL_019_column_names",1,0.993055555555556,0.982905982905983,0.992805755395683,0.987577639751553,0,1,0.992125984251969,0.991452991452991,0.997080291970803,1,1,0.997422680412371,0.996309963099631,0.995525727069351,1,0.993865030674847,0.989583333333333,0.991803278688525,0.991735537190083,0.9921875,0.992248062015504,0.992647058823529,0.992125984251969,0.991803278688525,0.990990990990991,0.991803278688525,0.990566037735849,0.990291262135922,0.990740740740741,0.991150442477876,0.991666666666667,0.991666666666667,0.991803278688525,0.991525423728813,0.990990990990991,0.989583333333333,0.99009900990099,0.990476190476191,0.991228070175439,0.990909090909091,0.990566037735849,0.989473684210526,0.99,0.989690721649485,0.989583333333333,0.990476190476191,0.990654205607477,0.990476190476191,0.990196078431373,0.989247311827957,0.989690721649485,0.98936170212766,0.989473684210526,0.990196078431373,0.989247311827957,0.99009900990099,0.990196078431373,0.988888888888889,0.99009900990099,0.990384615384615,0.989247311827957,0.99009900990099,0.989247311827957,0.990740740740741,0.99009900990099,0.98936170212766,0.989583333333333,0.989583333333333,0.990196078431373,0.99009900990099,0.989583333333333,0.990196078431373,0.99,0.989247311827957,0.99,0.990196078431373,0.990566037735849,0.990566037735849,0.990740740740741,0.989795918367347,0.989247311827957,0.990566037735849,0.990384615384615,0.990740740740741,0.989690721649485,1,1,1,1,1,1,1,1,0.992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M_PL_024_column_names",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M_PL_025_column_names",0.971631205673759,1,0.987179487179487,0.98989898989899,0.991803278688525,0.992125984251969,1,0,0.973684210526316,0.996899224806202,1,1,0.994236311239193,0.995670995670996,0.995085995085995,0.998898678414097,0.991869918699187,0.982142857142857,0.98780487804878,0.987654320987654,0.988636363636364,0.98876404494382,0.989583333333333,0.988505747126437,0.98780487804878,0.985915492957746,0.98780487804878,0.984848484848485,0.984126984126984,0.985294117647059,0.986301369863014,0.9875,0.9875,0.98780487804878,0.987179487179487,0.985915492957746,0.982142857142857,0.983606557377049,0.984615384615385,0.986486486486487,0.985714285714286,0.984848484848485,0.981818181818182,0.983333333333333,0.982456140350877,0.982142857142857,0.984615384615385,0.985074626865672,0.984615384615385,0.983870967741935,0.981132075471698,0.982456140350877,0.981481481481482,0.981818181818182,0.983870967741935,0.981132075471698,0.983606557377049,0.983870967741935,0.98,0.983606557377049,0.984375,0.981132075471698,0.983606557377049,0.981132075471698,0.985294117647059,0.983606557377049,0.981481481481482,0.982142857142857,0.982142857142857,0.983870967741935,0.983606557377049,0.982142857142857,0.983870967741935,0.983333333333333,0.981132075471698,0.983333333333333,0.983870967741935,0.984848484848485,0.984848484848485,0.985294117647059,0.982758620689655,0.981132075471698,0.984848484848485,0.984375,0.985294117647059,0.982456140350877,1,1,1,1,1,1,1,1,0.938271604938272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M_PL_033_column_names",0.977272727272727,0.98936170212766,0.985294117647059,0.98876404494382,0.981981981981982,0.991452991452991,1,0.973684210526316,0,0.998427672955975,1,1,0.99406528189911,0.995475113122172,0.99748743718593,1,0.991150442477876,0.978260869565217,0.986111111111111,0.985915492957746,0.987179487179487,0.987341772151899,0.988372093023256,0.987012987012987,0.986111111111111,0.983606557377049,0.986111111111111,0.982142857142857,0.981132075471698,0.982758620689655,0.984126984126984,0.985714285714286,0.985714285714286,0.986111111111111,0.985294117647059,0.983606557377049,0.978260869565217,0.980392156862745,0.981818181818182,0.984375,0.983333333333333,0.982142857142857,0.977777777777778,0.98,0.978723404255319,0.978260869565217,0.981818181818182,0.982456140350877,0.981818181818182,0.980769230769231,0.976744186046512,0.978723404255319,0.977272727272727,0.977777777777778,0.980769230769231,0.976744186046512,0.980392156862745,0.980769230769231,0.975,0.980392156862745,0.981481481481482,0.976744186046512,0.980392156862745,0.976744186046512,0.982758620689655,0.980392156862745,0.977272727272727,0.978260869565217,0.978260869565217,0.980769230769231,0.980392156862745,0.978260869565217,0.980769230769231,0.98,0.976744186046512,0.98,0.980769230769231,0.982142857142857,0.982142857142857,0.982758620689655,0.979166666666667,0.976744186046512,0.982142857142857,0.981481481481482,0.982758620689655,0.978723404255319,1,1,1,1,1,1,1,1,0.972972972972973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M_PL_044_column_names",0.997150997150997,0.998491704374057,0.995275590551181,0.998480243161094,0.995581737849779,0.997080291970803,1,0.996899224806202,0.998427672955975,0,1,1,0.978627671541057,0.983290488431877,0.990615224191866,0.992450240219629,0.998533724340176,0.998373983739837,0.998439937597504,0.9984375,0.998454404945904,0.998456790123457,0.998473282442748,0.995341614906832,0.998439937597504,0.998412698412698,0.998439937597504,0.9984,0.998392282958199,0.998405103668262,0.998417721518987,0.998435054773083,0.998435054773083,0.998439937597504,0.998430141287284,0.998412698412698,0.998373983739837,0.998387096774194,0.998397435897436,0.998420221169036,0.998410174880763,0.9984,0.998371335504886,0.998384491114701,0.998376623376623,0.998373983739837,0.998397435897436,0.998402555910543,0.998397435897436,0.998389694041868,0.998366013071895,0.998376623376623,0.99836867862969,0.998371335504886,0.998389694041868,0.998366013071895,0.998387096774194,0.998389694041868,0.998357963875205,0.998387096774194,0.998394863563403,0.998366013071895,0.998387096774194,0.998366013071895,0.998405103668262,0.998387096774194,0.99836867862969,0.998373983739837,0.998373983739837,0.998389694041868,0.998387096774194,0.998373983739837,0.998389694041868,0.998384491114701,0.998366013071895,0.998384491114701,0.998389694041868,0.9984,0.9984,0.998405103668262,0.99837925445705,0.998366013071895,0.9984,0.998394863563403,0.998405103668262,0.998376623376623,1,1,1,1,1,1,1,1,0.998447204968944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
