Species,Networks
aburria jacutinga,Castro_2015_column_names.csv; Machado_de_Souza_2019_column_names.csv
acanthisitta chloris,Odonnell_1994_column_names.csv
acridotheres fuscus,Kamruzzaman_2008_column_names.csv; Palita_2011_column_names.csv; Sethi_2012_column_names.csv
acridotheres tristis,Chimera_2010_column_names.csv; David_2011_tree_focal_watches_column_names.csv; Kamruzzaman_2008_column_names.csv; Palita_2011_column_names.csv; Sethi_2012_column_names.csv
aegithalos caudatus,Snow_1988_DJF_column_names.csv; Sorensen_1981_column_names.csv
aegithalos concinnus,Chen_1999_column_names.csv
aegithina tiphia,Kamruzzaman_2008_column_names.csv
agapornis pullarius,Hovestadt_1997_column_names.csv
ailuroedus melanotis,Pratt_1985_column_names.csv
alces alces,Jaroszewicz_2013_column_names.csv
alcippe brunnea,Chen_1999_column_names.csv
alcippe morrisonia,Chen_1999_column_names.csv
alethe poliocephala,M_SD_034_column_names.csv
alophoixus flaveolus,Sethi_2012_column_names.csv; VELHO_column_names.csv; VELHO2_column_names.csv
amblyornis macgregoriae,Pratt_1985_column_names.csv
ametrida centurio,Dos_Reis_1983_Cult_et_form_sec_column_names.csv
ampelion rubrocristatus,Dehling_2017_Wayqecha_4_column_names.csv
andigena hypoglauca,Dehling_2017_Wayqecha_1_column_names.csv; Dehling_2017_Wayqecha_2_column_names.csv; Dehling_2017_Wayqecha_3_column_names.csv; Dehling_2017_Wayqecha_4_column_names.csv
andropadus ansorgei,M_SD_034_column_names.csv
andropadus curvirostris,M_SD_034_column_names.csv
andropadus gracilirostris,M_SD_034_column_names.csv
andropadus importunus,M_SD_008_column_names.csv
andropadus latirostris,M_SD_034_column_names.csv
andropadus masukuensis,M_SD_034_column_names.csv
andropadus virens,M_SD_034_column_names.csv
anisognathus igniventris,Dehling_2017_Wayqecha_1_column_names.csv; Dehling_2017_Wayqecha_2_column_names.csv; Dehling_2017_Wayqecha_3_column_names.csv; Dehling_2017_Wayqecha_4_column_names.csv; SAAV1_column_names.csv
anisognathus somptuosus,Dehling_2017_San_Pedro_1_column_names.csv; Dehling_2017_San_Pedro_2_column_names.csv; Dehling_2017_San_Pedro_3_column_names.csv; Kessler_Rios_2012_column_names.csv; Quitian_2018_2000Fragmented_column_names.csv; Quitian_2018_2000Natural_column_names.csv; SAAV1_column_names.csv; SAAV2_column_names.csv; Zamora_Delgado_2008_column_names.csv
anolis carolinensis,Fricke_2018_Saipan_column_names.csv
anoura caudifer,Arias_Arone_2016_column_names.csv
anoura cultrata,Arias_Arone_2016_column_names.csv
anoura peruana,Arias_Arone_2016_column_names.csv
anthornis melanura,Burns_2013_column_names.csv; Garcia_2014_Blue_Duck_column_names.csv; Garcia_2014_Mount_Fyfee_Reserve_column_names.csv; Garcia_2014_Puhi_Puhi_River_column_names.csv; MacFarlane_2016_column_names.csv; Odonnell_1994_column_names.csv; Williams_1996_Eves_column_names.csv; Williams_1996_Marsden_column_names.csv; Wyman_2017_column_names.csv
anthoscopus caroli,M_SD_034_column_names.csv
anthoscopus parvulus,Daru_2015_column_names.csv
anthracoceros albirostris,Sethi_2012_column_names.csv; VELHO_column_names.csv; VELHO2_column_names.csv
apalis rufogularis,M_SD_034_column_names.csv
apalis thoracica,Menke_2012_interior_highly_dist_column_names.csv; Menke_2012_interior_little_dist_column_names.csv
aplonis opaca,Fricke_2018_Saipan_column_names.csv
apodemus flavicollis,Albrecht_102_2012_column_names.csv; Albrecht_203_2012_column_names.csv; Albrecht_30_2012_column_names.csv; Albrecht_314_2012_column_names.csv; Albrecht_315_2012_column_names.csv
arachnothera magna,Sethi_2012_column_names.csv
aratinga aurea,Malacco_da_Silva_2014_column_names.csv; Marcos_da_Silva_2013_column_names.csv
aratinga nana,Ramos_Robles_2016_net10_column_names.csv; Ramos_Robles_2016_net3_column_names.csv; Ramos_Robles_2016_net4_column_names.csv; Ramos_Robles_2016_net7_column_names.csv; Ramos_Robles_2016_net8_column_names.csv
arizelocichla masukuensis,Menke_2012_edge_highly_dist_column_names.csv; Menke_2012_edge_little_dist_column_names.csv; Menke_2012_interior_highly_dist_column_names.csv; Menke_2012_interior_little_dist_column_names.csv
arremon assimilis,Zamora_Delgado_2008_column_names.csv
arremon flavirostris,Blendinger_2015_column_names.csv
artibeus bogotensis,Castano_2018_column_names.csv
artibeus cinereus,Dos_Reis_1983_Cult_et_form_sec_column_names.csv; Lima_2016_column_names.csv; Munster_2008_column_names.csv; SARM_whole_network_from_paper_column_names.csv; Silva_Oliveira_2018_column_names.csv
artibeus concolor,Dos_Reis_1983_Cult_et_form_sec_column_names.csv
artibeus fimbriatus,Aguiar_2007_column_names.csv; Brito_2010_column_names.csv; Gomes_2013_column_names.csv; Mello_2014_Mata_de_Grota_column_names.csv; Munster_2008_column_names.csv; Passos_2003_column_names.csv; Sanchez_2012_Iguazu_column_names.csv; SARM_whole_network_from_paper_column_names.csv; Souza_Laurindo_2017_column_names.csv; Tavares_2007_column_names.csv
artibeus fraterculus,Novoa_2011_column_names.csv
artibeus glaucus,Arias_Arone_2016_column_names.csv
artibeus gnomus,Gorchov_1995_column_names.csv; Lima_2016_column_names.csv
