"species","networks"
"Abeillia abeillei","M_PL_074_14; M_PL_074_15"
"Acanthosoma denticauda","M_PL_057"
"Achaea finita","M_PL_060_06"
"Acmaeopsoides rufula","M_PL_004"
"Acopsis viridicans","M_PL_060_02; M_PL_060_05; M_PL_060_06"
"Actina jezoensis","M_PL_057"
"Adela purpurea","M_PL_033"
"Adela rufimatrella","M_PL_006"
"Adelomyia melanogenys","M_PL_074_01; M_PL_074_02; M_PL_074_03; M_PL_074_16"
"Adelphocoris demissus","M_PL_044"
"Adelphocoris rubripes","M_PL_056"
"Adelphocoris triannulatus","M_PL_057"
"Adomerus biguttulus","M_PL_055"
"Aethaloessa calidalis","M_PL_044"
"Aganais borbonica","M_PL_060_06"
"Agapostemon virescens","M_PL_073"
"Agelasa nigriceps","M_PL_057"
"Agelastica coerulea","M_PL_057"
"Agemilla dulcifera subflavescens","M_PL_044"
"Agiotes stabilis","M_PL_004"
"Aglaeactis cupripennis","M_PL_068; M_PL_074_12"
"Aglaiocercus coelestis","M_PL_074_01; M_PL_074_02; M_PL_074_05"
"Aglaiocercus kingii","M_PL_074_03; M_PL_074_16"
"Aglais urticae","M_PL_017"
"Agrostis atritegulator","M_PL_060_06"
"Agrypnus binodulusllis","M_PL_054"
"Ahasverus advena","M_PL_060_05; M_PL_060_06; M_PL_060_07; M_PL_060_09; M_PL_060_15; M_PL_060_20; M_PL_060_21; M_PL_060_22"
"Ahlber ferra","M_PL_057"
"Alcis angulifera","M_PL_056"
"Aldrichina grahami","M_PL_055"
"Allantus nigrocaeleus","M_PL_057"
"Allecula shibatai","M_PL_044"
"Allecula tenuis","M_PL_044"
"Allobaccha nubilipennis","M_PL_044"
"Allograpta exotica","M_PL_051"
"Allograpta hortensis","M_PL_051"
"Allograpta javana","M_PL_044; M_PL_055"
"Allograpta nasuta","M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_07; M_PL_060_08; M_PL_060_09; M_PL_060_14; M_PL_060_15; M_PL_060_16; M_PL_060_17; M_PL_060_18; M_PL_060_20; M_PL_060_21; M_PL_060_22; M_PL_060_23"
"Alphostrombocerus komowi","M_PL_056"
"Alysson cameroni","M_PL_057"
"Amazilia beryllina","M_PL_074_14; M_PL_074_15"
"Amazilia brevirostris","M_PL_074_04; M_PL_074_08"
"Amazilia candida","M_PL_074_14"
"Amazilia fimbriata","M_PL_064; M_PL_069_01; M_PL_074_06; M_PL_074_07; M_PL_074_08; M_PL_074_11; M_PL_074_13; M_PL_074_18"
"Amazilia franciae","M_PL_074_01; M_PL_074_02; M_PL_074_05; M_PL_074_16"
"Amazilia lactea","M_PL_064; M_PL_074_11"
"Amazilia rutila","M_PL_065; M_PL_074_14"
"Amazilia saucerottei","M_PL_074_16"
"Amazilia tobaci","M_PL_074_04"
"Amazilia tzacatl","M_PL_074_01; M_PL_074_05; M_PL_074_16"
"Amazilia versicolor","M_PL_063; M_PL_069_01; M_PL_071; M_PL_074_10; M_PL_074_11; M_PL_074_13; M_PL_074_18"
"Amegilla dulcifera subflavescens","M_PL_044"
"Amegilla femorata","M_PL_058"
"Ammophila clavus","M_PL_054"
"Ampedus amamiensis","M_PL_044"
"Ampedus aritai","M_PL_044"
"Ampedus vestitdus","M_PL_057"
"Anadastus melanosternus","M_PL_044"
"Anaria funebris","M_PL_056"
"Anaspis funagata","M_PL_056"
"Anaspis shibatai","M_PL_044"
"Anastrangalis acotodes","M_PL_056"
"Andrena Knuthi","M_PL_044; M_PL_054; M_PL_055"
"Andrena aburana","M_PL_056; M_PL_057"
"Andrena akitsushimae","M_PL_057"
"Andrena alleghaniensis","M_PL_033"
"Andrena amamiensis","M_PL_044"
"Andrena arabis","M_PL_025"
"Andrena banksi","M_PL_073"
"Andrena benefica","M_PL_054"
"Andrena bradleyi","M_PL_033"
"Andrena brassicae","M_PL_054; M_PL_057"
"Andrena brenihirtiscopa","M_PL_056"
"Andrena carlini","M_PL_025; M_PL_033"
"Andrena carolina","M_PL_033"
"Andrena ceanothi","M_PL_025"
"Andrena chrysosceles","M_PL_007"
"Andrena confederata","M_PL_073"
"Andrena dentata","M_PL_057"
"Andrena dunningi","M_PL_025"
"Andrena edashigei","M_PL_044"
"Andrena erigeniae","M_PL_025"
"Andrena esakki","M_PL_044"
"Andrena haemorrhoa","M_PL_006"
"Andrena halictoides","M_PL_057"
"Andrena hebes","M_PL_057"
"Andrena hikosana","M_PL_057"
"Andrena hilaris","M_PL_073"
"Andrena hirashimai","M_PL_044"
"Andrena imitatrix","M_PL_025; M_PL_073"
"Andrena ishiharai","M_PL_057"
"Andrena japonica","M_PL_054; M_PL_055"
"Andrena kaguya","M_PL_057"
"Andrena lapponica","M_PL_056"
"Andrena longitibialis","M_PL_056"
"Andrena mandibularis","M_PL_033"
"Andrena melanochroa","M_PL_004"
"Andrena minutula","M_PL_055; M_PL_057"
"Andrena miranda","M_PL_004"
"Andrena mitakensis","M_PL_057"
"Andrena miyamotoi","M_PL_057"
"Andrena nasonii","M_PL_025"
"Andrena nawai","M_PL_057"
"Andrena nigrihirta","M_PL_025"
"Andrena nivalis","M_PL_004"
"Andrena opacifovea","M_PL_044; M_PL_054; M_PL_057"
"Andrena parathoracica","M_PL_056; M_PL_057"
"Andrena perplexa","M_PL_073"
"Andrena personata","M_PL_025"
"Andrena protomias","M_PL_054; M_PL_057"
"Andrena pubescens","M_PL_006; M_PL_007"
"Andrena regularis","M_PL_033"
"Andrena rufosignata","M_PL_004"
"Andrena sigmundi","M_PL_004"
"Andrena spiraeana","M_PL_073"
"Andrena sublevigata","M_PL_057"
"Andrena subopaca","M_PL_057"
"Andrena thaspii","M_PL_004"
"Andrena togashii","M_PL_056"
"Andrena tridens","M_PL_025"
"Andrena tsukubana","M_PL_057"
"Andrena vicina","M_PL_033; M_PL_073"
"Andrena violae","M_PL_025"
"Andrena w scripta","M_PL_004"
"Andrena watasei","M_PL_057"
"Andrena wheeleri","M_PL_004"
"Andrena wilkella","M_PL_004; M_PL_006"
"Andrena yamato","M_PL_054; M_PL_056; M_PL_057"
"Andrena ziziaeformis","M_PL_025"
"Angelasa nigriceps","M_PL_057"
"Anisolabis maritima","M_PL_044"
"Anisostira rugipennis","M_PL_044"
"Anomala albopilosa","M_PL_054"
"Anoploderomorpha excavata","M_PL_056"
"Anoplolepis longipes","M_PL_044"
"Anoptius eous","M_PL_055"
"Anterhynchium flavomarginatum","M_PL_044; M_PL_054"
"Anthaxia Proteus","M_PL_054"
"Anthaxia expansa","M_PL_004"
"Anthaxia moya","M_PL_044"
"Anthaxia reticulata","M_PL_056"
"Antherophagus nigricornis","M_PL_056"
"Anthicus shibatai","M_PL_044"
"Anthidium septemspinosum","M_PL_054"
"Anthidium sticticum","M_PL_058"
"Anthocharis cardamines","M_PL_056"
"Anthocoris miyamotoi","M_PL_044"
"Anthomyia faciata","M_PL_060_11"
"Anthophora abrupta","M_PL_073"
"Anthophora pilipes villosula","M_PL_054; M_PL_057"
"Anthophora plumipes","M_PL_007"
"Anthracothorax nigricollis","M_PL_074_04; M_PL_074_06; M_PL_074_07; M_PL_074_08; M_PL_074_09; M_PL_074_10; M_PL_074_11; M_PL_074_16"
"Anthrenus verbasci","M_PL_054"
"Aphantochroa cirrochloris","M_PL_074_07; M_PL_074_10; M_PL_074_11"
"Aphothona amamiana","M_PL_044"
"Aphothona foudrasi","M_PL_044"
"Aphtona formosana","M_PL_044"
"Apis cerana","M_PL_044; M_PL_054; M_PL_055; M_PL_057"
"Apis mellifera","M_PL_007; M_PL_013; M_PL_017; M_PL_019; M_PL_025; M_PL_033; M_PL_044; M_PL_054; M_PL_055; M_PL_056; M_PL_058; M_PL_059; M_PL_060_01; M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_07; M_PL_060_08; M_PL_060_09; M_PL_060_10; M_PL_060_11; M_PL_060_12; M_PL_060_13; M_PL_060_14; M_PL_060_15; M_PL_060_16; M_PL_060_17; M_PL_060_18; M_PL_060_19; M_PL_060_20; M_PL_060_21; M_PL_060_22; M_PL_060_23; M_PL_060_24; M_PL_061_01; M_PL_061_02; M_PL_061_03; M_PL_061_04; M_PL_061_05; M_PL_061_06; M_PL_061_07; M_PL_061_08; M_PL_061_09; M_PL_061_10; M_PL_061_11; M_PL_061_12; M_PL_061_13; M_PL_061_14; M_PL_061_15; M_PL_061_16; M_PL_061_17; M_PL_061_18; M_PL_061_19; M_PL_061_20; M_PL_061_21; M_PL_061_22; M_PL_061_23; M_PL_061_24; M_PL_061_25; M_PL_061_26; M_PL_061_27; M_PL_061_28; M_PL_061_29; M_PL_061_30; M_PL_061_31; M_PL_061_32; M_PL_061_35; M_PL_061_36; M_PL_061_37; M_PL_061_38; M_PL_061_39; M_PL_061_40; M_PL_061_43; M_PL_061_44; M_PL_061_45; M_PL_061_46; M_PL_061_47; M_PL_061_48; M_PL_073"
"Apoderus rubidus","M_PL_057"
"Arasehmia burejana","M_PL_057"
"Archilochus colubris","M_PL_065; M_PL_070; M_PL_074_14"
"Arge nipponensis","M_PL_055"
"Arge similis","M_PL_054; M_PL_057"
"Argynnis paphia","M_PL_055; M_PL_056"
"Arthromacra amamiana","M_PL_044"
"Asarkina ericetorum","M_PL_044"
"Asarkina porcina","M_PL_044; M_PL_057"
"Asclera nigrocya","M_PL_054; M_PL_057"
"Asemum amurense","M_PL_056"
"Asiemphytus deutziae","M_PL_057"
"Aspilocoryphus fasciativentris","M_PL_013"
"Astochia virgatipes","M_PL_057"
"Athalia japonica","M_PL_044; M_PL_054; M_PL_057"
"Athemus lineatipennis","M_PL_055"
"Atherigona orientalis","M_PL_060_17"
"Atlobaccha nubilipennis","M_PL_044"
"Atrichelaphinis tigrina","M_PL_013"
"Attalus chujoanus","M_PL_044"
"Attalus ryukyuanus","M_PL_044"
"Atthis ellioti","M_PL_074_14; M_PL_074_15"
"Atylotus sawadaisp","M_PL_044"
"Augastes scutatus","M_PL_074_09; M_PL_074_17"
"Augochlora pura","M_PL_025; M_PL_073"
"Augochlorella aurata","M_PL_073"
"Augochloropsis metallica","M_PL_073"
"Augochorella striata","M_PL_025"
"Aulacophora femoralis","M_PL_044"
"Aulacophora nigripennis","M_PL_044; M_PL_054"
"Baccha apicalis","M_PL_057"
"Baccha maculata","M_PL_057"
"Bactrocera cucurbitae","M_PL_060_07"
"Balatala gracilis","M_PL_056"
"Baris kiboshi","M_PL_044"
"Basilepta ruficolle","M_PL_057"
"Bertsa lankana","M_PL_044"
"Betasyrphus seraius","M_PL_057"
"Bilia japonica","M_PL_044"
"Biphyllis throscoides","M_PL_056"
"Blera badia","M_PL_004"
"Blera confusa","M_PL_004"
"Blera nigripes","M_PL_004"
"Blitopertha conspurcata","M_PL_054"
"Blitopertha orientalis","M_PL_054; M_PL_057"
"Bocchoris inspersalis","M_PL_044"
"Boissonneaua flavescens","M_PL_074_01; M_PL_074_02; M_PL_074_16"
"Boissonneaua jardini","M_PL_074_01"
"Boloria improba","M_PL_024"
"Bombus ardens","M_PL_054; M_PL_056; M_PL_057"
"Bombus auricomus","M_PL_073"
"Bombus beaticola","M_PL_056"
"Bombus bimaculatus","M_PL_025; M_PL_073"
"Bombus consobrinus","M_PL_056"
"Bombus dahlbomii","M_PL_051"
"Bombus diversus","M_PL_054; M_PL_055; M_PL_056; M_PL_057"
"Bombus griseocollis","M_PL_073"
"Bombus honshuensis","M_PL_056; M_PL_057"
"Bombus hortorum","M_PL_006; M_PL_007"
"Bombus hypocrita","M_PL_054; M_PL_055; M_PL_056; M_PL_057"
