species,networks,Taxonomy,Notes
Acalyptrate sp1 M_PL_062,M_PL_060_03,Subsection,
Acalyptus sp1 M_PL_044,M_PL_044,Genus,
Acarina sp1 M_PL_045,M_PL_045,Order,
Actea sp1 M_PL_013,M_PL_013,,Can't find
Agathidinae sp1 M_PL_075,M_PL_060_16,Subfamily,
Agathis sp1 M_PL_055,M_PL_055,Genus,
Allograpta sp1 M_PL_061,M_PL_060_02,Genus,
Allograpta sp1 M_PL_069,M_PL_060_10,Genus,
Alophera sp1 M_PL_019,M_PL_019,,Can't find
Amblypsilopus sp1 M_PL_092,M_PL_061_09,Genus,
Ancistrocerus sp1 M_PL_004,M_PL_004,Genus,
Andrallus sp1 M_PL_044,M_PL_044,Genus,
Andrena sp1 M_PL_058,M_PL_058,Genus,
Anomalempis sp1 M_PL_044,M_PL_044,Genus,
Anomia sp1 M_PL_044,M_PL_044,,Can't find
Anomia sp2 M_PL_044,M_PL_044,,Can't find
Anosymia sp1 M_PL_006,M_PL_006,,Can't find
Anthaxia sp1 M_PL_051,M_PL_051,Genus,
Anthidium sp1 M_PL_058,M_PL_058,Genus,
Anthomyidae sp1 M_PL_006,M_PL_006,Family,Spelling mistake
Anthonomus sp1 M_PL_004,M_PL_004,Genus,
Anthonomus sp1 M_PL_044,M_PL_044,Genus,
Anthophora sp1 M_PL_058,M_PL_058,Genus,
Araneidae sp129 M_PL_057,M_PL_057,Family,
Araneidae sp130 M_PL_057,M_PL_057,Family,
Araneidae sp131 M_PL_057,M_PL_057,Family,
Araneidae sp132 M_PL_057,M_PL_057,Family,
Araneidae sp133 M_PL_057,M_PL_057,Family,
Araneidae sp134 M_PL_057,M_PL_057,Family,
Araneidae sp135 M_PL_057,M_PL_057,Family,
Araneidae sp136 M_PL_057,M_PL_057,Family,
Araneidae sp137 M_PL_057,M_PL_057,Family,
Araneidae sp138 M_PL_057,M_PL_057,Family,
Araneidae sp139 M_PL_057,M_PL_057,Family,
Araneidae sp140 M_PL_057,M_PL_057,Family,
Araneidae sp141 M_PL_057,M_PL_057,Family,
Araneidae sp142 M_PL_057,M_PL_057,Family,
Araneidae sp143 M_PL_057,M_PL_057,Family,
Araneidae sp144 M_PL_057,M_PL_057,Family,
Araneidae sp18 M_PL_054,M_PL_054,Family,
Araneidae sp19 M_PL_054,M_PL_054,Family,
Araneidae sp20 M_PL_054,M_PL_054,Family,
Araneidae sp36 M_PL_054,M_PL_054,Family,
Araneidae sp37 M_PL_054,M_PL_054,Family,
Araneidae sp38 M_PL_054,M_PL_054,Family,
Araneidae sp39 M_PL_054,M_PL_054,Family,
Araneidae sp40 M_PL_054,M_PL_054,Family,
Araneidae sp41 M_PL_054,M_PL_054,Family,
Araneidae sp42 M_PL_054,M_PL_054,Family,
Araneidae sp43 M_PL_054,M_PL_054,Family,
Araneidae sp44 M_PL_054,M_PL_054,Family,
Araneidae sp45 M_PL_054,M_PL_054,Family,
Araneidae sp46 M_PL_054,M_PL_054,Family,
Araneidae sp47 M_PL_054,M_PL_054,Family,
Araneidae sp48 M_PL_054,M_PL_054,Family,
Araneidae sp49 M_PL_054,M_PL_054,Family,
Araneidae sp50 M_PL_054,M_PL_054,Family,
Araneidae sp51 M_PL_054,M_PL_054,Family,
Araneidae sp70 M_PL_057,M_PL_057,Family,
Araneidae sp9 M_PL_054,M_PL_054,Family,
Arge sp1 M_PL_013,M_PL_013,Genus,
Arge sp1 M_PL_057,M_PL_057,Genus,
Athemus sp1 M_PL_044,M_PL_044,Genus,
Atherigona sp1 M_PL_061,M_PL_060_02,Genus,
