"species","networks"
"Aburria jacutinga","Castro_2015; Machado_de_Souza_2019"
"Acanthisitta chloris","Odonnell_1994"
"Acridotheres fuscus","Kamruzzaman_2008; Palita_2011; Sethi_2012"
"Acridotheres tristis","Chimera_2010; David_2011_tree_focal_watches; Kamruzzaman_2008; Palita_2011; Sethi_2012"
"Aegithalos caudatus","Snow_1988_DJF; Sorensen_1981"
"Aegithalos concinnus","Chen_1999"
"Aegithina tiphia","Kamruzzaman_2008"
"Agapornis pullarius","Hovestadt_1997"
"Ailuroedus melanotis","Pratt_1985"
"Alces alces","Jaroszewicz_2013"
"Alcippe brunnea","Chen_1999"
"Alcippe morrisonia","Chen_1999"
"Alethe poliocephala","M_SD_034"
"Alophoixus flaveolus","Sethi_2012; VELHO; VELHO2"
"Amblyornis macgregoriae","Pratt_1985"
"Ametrida centurio","Dos_Reis_1983_Cult_et_form_sec"
"Ampelion rubrocristatus","Dehling_2017_Wayqecha_4"
"Andigena hypoglauca","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; Dehling_2017_Wayqecha_4"
"Andropadus ansorgei","M_SD_034"
"Andropadus curvirostris","M_SD_034"
"Andropadus gracilirostris","M_SD_034"
"Andropadus importunus","M_SD_008"
"Andropadus latirostris","M_SD_034"
"Andropadus masukuensis","M_SD_034"
"Andropadus virens","M_SD_034"
"Anisognathus igniventris","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; Dehling_2017_Wayqecha_4; SAAV1"
"Anisognathus somptuosus","Dehling_2017_San_Pedro_1; Dehling_2017_San_Pedro_2; Dehling_2017_San_Pedro_3; Kessler_Rios_2012; Quitian_2018_2000Fragmented; Quitian_2018_2000Natural; SAAV1; SAAV2; Zamora_Delgado_2008"
"Anolis carolinensis","Fricke_2018_Saipan"
"Anoura caudifer","Arias_Arone_2016"
"Anoura cultrata","Arias_Arone_2016"
"Anoura peruana","Arias_Arone_2016"
"Anthornis melanura","Burns_2013; Garcia_2014_Blue_Duck; Garcia_2014_Mount_Fyfee_Reserve; Garcia_2014_Puhi_Puhi_River; MacFarlane_2016; Odonnell_1994; Williams_1996_Eves; Williams_1996_Marsden; Wyman_2017"
"Anthoscopus caroli","M_SD_034"
"Anthoscopus parvulus","Daru_2015"
"Anthracoceros albirostris","Sethi_2012; VELHO; VELHO2"
"Apalis rufogularis","M_SD_034"
"Apalis thoracica","Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Aplonis opaca","Fricke_2018_Saipan"
"Apodemus flavicollis","Albrecht_102_2012; Albrecht_203_2012; Albrecht_30_2012; Albrecht_314_2012; Albrecht_315_2012"
"Arachnothera magna","Sethi_2012"
"Aratinga aurea","Malacco_da_Silva_2014; Marcos_da_Silva_2013"
"Aratinga nana","Ramos_Robles_2016_net10; Ramos_Robles_2016_net3; Ramos_Robles_2016_net4; Ramos_Robles_2016_net7; Ramos_Robles_2016_net8"
