species,networks,Taxonomy,Notes
Artibeus Lopez  unidsp 778,Lopez_and_Vaughn_2004,Genus,
Artibeus Lou2005 unidsp mult,Lou_2005,Genus,
Artibeus Lou2007 unidsp mult,Lou_2007,Genus,
Aves Engel2000 unidsp mult,Engel_2000,Class,
Aves Pratt1985 unidsp mult,Pratt_1985,Class,
Carollia Lou2005 unidsp 886,Lou_2005,Genus,
Elaenia Athie2009 unidsp 711,Athie_2009,Genus,
Elaenia Fadini2004 unidsp mult,Fadini_2004,Genus,
Elaenia Malaccoda unidsp mult,Malacco_da_Silva_2014,Genus,
Elaenia Robinson2015 unidsp 905,Robinson_2015,Genus,
Elaenia deOliveira unidsp 560,de_Oliveira_1999,Genus,
Francolinus Hovestadt1997 unidsp mult,Hovestadt_1997,Genus,
Glossophaga Lou2007 unidsp mult,Lou_2007,Genus,
Glossophaga Santiago2014 unidsp 471,Santiago_2014_far_from_remnant,Genus,
Heliosciurus Hovestadt1997 unidsp mult,Hovestadt_1997,Genus,
Lamprotornis Hovestadt1997 unidsp mult,Hovestadt_1997,Genus,
Loris Jayasekara2003 unidsp mult,Jayasekara_2003,Genus,
Martes Peredo2013 unidsp 428,Peredo_2013_Puertos_de_Marabio,Genus,
Martes Peredo2013 unidsp 659,Peredo_2013_Pto_de_San_Lorenzo,Genus,
Muridae Jayasekara2003 unidsp mult,Jayasekara_2003,Family,
Muridae Jayasekara2007 unidsp mult,Jayasekara_2007,Family,
Myiarchus Malaccoda unidsp 713,Malacco_da_Silva_2014,Genus,
Myloplus Correa2016 unidsp 568,Correa_2016_Apaporis,Genus,
Nectarinia Hovestadt1997 unidsp mult,Hovestadt_1997,Genus,
Nesospingus sp1 M_SD_003,M_SD_003,Genus,
Nesospingus sp1 M_SD_004,M_SD_004,Genus,
Numida Hovestadt1997 unidsp mult,Hovestadt_1997,Genus,
Oligoryzomys Genrich2017 unidsp 964,Genrich_2017,Genus,
Paraxerus Engel2000 unidsp 1,Engel_2000,Genus,
Phylloscopus Garcia2016 unidsp 243,Garcia_2016,Genus,
Ploceus Hovestadt1997 unidsp mult,Hovestadt_1997,Genus,
Pteropodidae Jayasekara2003 unidsp 183,Jayasekara_2003,Family,
Rodentia Engel2000 unidsp mult,Engel_2000,Order,
Rousettus Engel2000 unidsp mult,Engel_2000,Genus,
Serinus Hovestadt1997 unidsp mult,Hovestadt_1997,Genus,
Soricidae Jayasekara2007 unidsp mult,Jayasekara_2007,Family,
Sporophila Malaccoda unidsp mult,Malacco_da_Silva_2014,Genus,
Streptopelia Hovestadt1997 unidsp mult,Hovestadt_1997,Genus,
Sylviidae Hovestadt1997 unidsp mult,Hovestadt_1997,Family,
Unidentified sp1 M_SD_003,M_SD_003,None,
Unidentified sp1 M_SD_008,M_SD_008,None,
Vireo Zamora Delgado2008 unidsp 49,Zamora_Delgado_2008,Genus,
Viverridae Engel2000 unidsp mult,Engel_2000,Family,
