"","Aguiar_2007_row_names","Aguilar_Garavito_2014_mature_row_names","Albrecht_102_2012_row_names","Albrecht_11_2012_row_names","Albrecht_111_2011_row_names","Albrecht_111_2012_row_names","Albrecht_112_2011_row_names","Albrecht_112_2012_row_names","Albrecht_13_2012_row_names","Albrecht_15_2012_row_names","Albrecht_203_2012_row_names","Albrecht_30_2012_row_names","Albrecht_301_2012_row_names","Albrecht_314_2012_row_names","Albrecht_315_2011_row_names","Albrecht_315_2012_row_names","Albrecht_35_2012_row_names","Albrecht_36_2012_row_names","Andrade_2011_row_names","Arias_Arone_2016_row_names","Athie_2009_row_names","Blake_1992_row_names","Blendinger_2015_row_names","Brito_2010_row_names","Burns_2013_row_names","Carvalho_2008_row_names","Castano_2018_row_names","Castley_2001_row_names","Castro_2015_row_names","Castro_Luna_2012_row_names","Chen_1999_row_names","Chimera_2010_row_names","Correa_2016_Apaporis_row_names","Correa_2016_Caqueta_row_names","Costa_2013_endozoochory_row_names","Cruz_2013_Autumn_row_names","Cruz_2013_Summer_row_names","Cruz_2013_Winter_row_names","Daru_2015_row_names","David_2011_tree_focal_watches_row_names","de_Oliveira_1999_row_names","Dehling_2017_San_Pedro_1_row_names","Dehling_2017_San_Pedro_2_row_names","Dehling_2017_San_Pedro_3_row_names","Dehling_2017_San_Pedro_4_row_names","Dehling_2017_Wayqecha_1_row_names","Dehling_2017_Wayqecha_2_row_names","Dehling_2017_Wayqecha_3_row_names","Dehling_2017_Wayqecha_4_row_names","Dos_Reis_1983_Cult_et_form_sec_row_names","Engel_2000_row_names","Fadini_2004_row_names","Faria_1996_row_names","Faustino_2006_row_names","Fleming_1977_row_names","Fricke_2018_Saipan_row_names","Fuentes_1994_row_names","Garcia_2014_Blue_Duck_row_names","Garcia_2014_Charles_Plimmer_row_names","Garcia_2014_George_Denton_row_names","Garcia_2014_Mount_Fyfee_Reserve_row_names","Garcia_2014_Puhi_Puhi_River_row_names","Garcia_2014_Zealandia_row_names","Garcia_2016_row_names","Garcia_Estrada_2012_row_names","Garcia_et_al_2000_row_names","Garcia_Morales_2012_row_names","Genrich_2017_row_names","Gomes_2013_row_names","Gorchov_1995_row_names","Hayashi_1996_row_names","Hernandez_Montero_2015_B4_Dry_row_names","Hernandez_Montero_2015_B4_Norte_row_names","Hovestadt_1997_row_names","Jaroszewicz_2013_row_names","Jayasekara_2003_row_names","Jayasekara_2007_row_names","Kamruzzaman_2008_row_names","Kessler_Rios_2012_row_names","Koike_2008_row_names","Labbe_2011_row_names","Lessa_2010_row_names","Lessa_2013_row_names","Lima_2016_row_names","Lopez_and_Vaughn_2004_row_names","Lou_2005_row_names","Lou_2007_row_names","M_SD_001_row_names","M_SD_002_row_names","M_SD_003_row_names","M_SD_004_row_names","M_SD_005_row_names","M_SD_006_row_names","M_SD_008_row_names","M_SD_009_row_names","M_SD_010_single_partners_added_row_names","M_SD_012_row_names","M_SD_020_row_names","M_SD_031_row_names","M_SD_033_row_names","M_SD_034_row_names","MacFarlane_2016_row_names","Machado_de_Souza_2019_row_names","Malacco_da_Silva_2014_row_names","Malmborg_1988_1980_row_names","Malmborg_1988_1981_row_names","Malmborg_1988_1982_row_names","Mancina_2007_dry_row_names","Marcos_da_Silva_2013_row_names","Mello_2014_Mata_de_Grota_row_names","Menke_2012_edge_highly_dist_row_names","Menke_2012_edge_little_dist_row_names","Menke_2012_interior_highly_dist_row_names","Menke_2012_interior_little_dist_row_names","Munin_2012_row_names","Munster_2008_row_names","Nogales_2017_row_names","Noma_1997_row_names","Novoa_2011_row_names","Odonnell_1994_row_names","Palita_2011_row_names","Palmeirim_1989_row_names","Passos_2003_row_names","Pedro_1992_row_names","Peredo_2013_Pto_de_San_Lorenzo_row_names","Peredo_2013_Puertos_de_Marabio_row_names","Pratt_1985_row_names","Preciado_Benitez_2015_row_names","Quitian_2018_1000Fragmented_row_names","Quitian_2018_1000Natural_row_names","Quitian_2018_2000Fragmented_row_names","Quitian_2018_2000Natural_row_names","Ramos_Robles_2016_net10_row_names","Ramos_Robles_2016_net2_row_names","Ramos_Robles_2016_net3_row_names","Ramos_Robles_2016_net4_row_names","Ramos_Robles_2016_net6_row_names","Ramos_Robles_2016_net7_row_names","Ramos_Robles_2016_net8_row_names","Robinson_2015_row_names","SAAV1_row_names","SAAV2_row_names","Sanchez_2012_Iguazu_row_names","Santiago_2014_close_to_remnant_row_names","Santiago_2014_far_from_remnant_row_names","SARM_whole_network_from_paper_row_names","Sethi_2012_row_names","Silva_Oliveira_2018_row_names","Silveira_2006_row_names","Snow_1988_DJF_row_names","Snow_1988_JJA_row_names","Snow_1988_MAM_row_names","Snow_1988_SON_row_names","Sorensen_1981_row_names","Souza_Laurindo_2017_row_names","Suzuki_2007_row_names","Tavares_2007_row_names","Traveset_1992_row_names","VELHO_row_names","VELHO2_row_names","Williams_1996_Eves_row_names","Williams_1996_Marsden_row_names","Wolfe_2014_row_names","Wyman_2017_row_names","Zamora_Delgado_2008_row_names","Zapata_Mesa_2017_MR_September_row_names"
"Aguiar_2007_row_names",0,0.96551724137931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98876404494382,1,1,1,0.896551724137931,1,0.9,0.964285714285714,1,0.985507246376812,0.96551724137931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.977777777777778,0.911764705882353,1,0.96551724137931,1,1,1,1,1,1,1,1,1,1,0.939393939393939,1,0.936170212765957,0.925,0.990196078431373,0.9375,1,1,1,1,1,1,1,1,1,1,1,1,0.952380952380952,0.981818181818182,0.979591836734694,0.974358974358974,1,1,1,1,1,1,1,1,1,0.981818181818182,1,1,1,1,1,0.990909090909091,1,1,1,1,0.966666666666667,0.96,0.96875,1,1,1,1,0.931034482758621,0.957446808510638,1,1,0.951219512195122,1,1,1,0.926829268292683,0.935483870967742,1,1,1,0.970588235294118,1,1,1,1,1,1,1,1,1,1,1,0.961538461538461,1,1,0.914285714285714,1,1,0.972602739726027,1,0.966666666666667,0.923076923076923,1,1,1,1,1,0.939393939393939,1,0.888888888888889,1,1,1,1,1,1,1,1,0.964285714285714
"Aguilar_Garavito_2014_mature_row_names",0.96551724137931,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.878048780487805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.973684210526316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.952380952380952,0.928571428571429,0.928571428571429,1,1,1,1,1,0.952380952380952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983870967741935,1,0.944444444444444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987951807228916,1
"Albrecht_102_2012_row_names",1,1,0,0.666666666666667,0.818181818181818,0.666666666666667,0.7,0.545454545454545,0.5,0.583333333333333,0.3,0.4,0.444444444444444,0.375,0.75,0.666666666666667,0.666666666666667,0.545454545454545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928571428571429,1,1,1,1,1,1,1,1,1,1,0.98989898989899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,1,0.962962962962963,1,1,1,1,1,1,1,1,1,1,1,1,1
"Albrecht_11_2012_row_names",1,1,0.666666666666667,0,0.555555555555556,0.545454545454545,0.555555555555556,0.222222222222222,0.636363636363636,0.454545454545455,0.454545454545455,0.666666666666667,0.6,0.555555555555556,0.5,0.4,0.222222222222222,0.222222222222222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928571428571429,1,1,1,1,1,1,1,1,1,1,0.994974874371859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.869565217391304,0.923076923076923,1,0.88,0.944444444444444,1,1,1,1,1,1,1,1,1,1,1,1
"Albrecht_111_2011_row_names",1,1,0.818181818181818,0.555555555555556,0,0.7,0.333333333333333,0.555555555555556,0.8,0.727272727272727,0.727272727272727,0.818181818181818,0.777777777777778,0.75,0.5,0.555555555555556,0.555555555555556,0.555555555555556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,1,1,1,1,1,1,0.909090909090909,1,1,1,1,1,1,1,1,1,1,0.994897959183673,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,0.91304347826087,1,0.863636363636364,1,1,1,1,1,1,1,1,1,1,1,1,1
"Albrecht_111_2012_row_names",1,1,0.666666666666667,0.545454545454545,0.7,0,0.7,0.545454545454545,0.75,0.583333333333333,0.583333333333333,0.769230769230769,0.727272727272727,0.7,0.636363636363636,0.545454545454545,0.4,0.545454545454545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.947368421052632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994974874371859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.869565217391304,0.923076923076923,1,0.923076923076923,0.944444444444444,1,1,1,1,1,1,1,1,1,1,1,1
"Albrecht_112_2011_row_names",1,1,0.7,0.555555555555556,0.333333333333333,0.7,0,0.375,0.666666666666667,0.6,0.6,0.7,0.625,0.571428571428572,0.5,0.555555555555556,0.375,0.375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.954545454545454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.909090909090909,1,1,1,1,1,1,1,1,1,1,0.994897959183673,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.904761904761905,0.958333333333333,1,0.91304347826087,1,1,1,1,1,1,1,1,1,1,1,1,1
"Albrecht_112_2012_row_names",1,1,0.545454545454545,0.222222222222222,0.555555555555556,0.545454545454545,0.375,0,0.5,0.3,0.3,0.545454545454545,0.444444444444444,0.375,0.333333333333333,0.222222222222222,0.222222222222222,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928571428571429,1,1,1,1,1,1,1,1,1,1,0.994974874371859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.869565217391304,0.923076923076923,1,0.88,0.944444444444444,1,1,1,1,1,1,1,1,1,1,1,1
"Albrecht_13_2012_row_names",1,1,0.5,0.636363636363636,0.8,0.75,0.666666666666667,0.5,0,0.222222222222222,0.545454545454545,0.125,0.555555555555556,0.285714285714286,0.727272727272727,0.636363636363636,0.636363636363636,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91304347826087,1,0.928571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.944444444444444,1,0.944444444444444,1,1,0.954545454545454,1,0.727272727272727,1,1,1,1,1,1,1,1,1,1,0.989847715736041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.967741935483871,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,0.916666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.958333333333333,0.826086956521739,0.916666666666667,0.875,0.875,1,1,1,1,1,1,0.944444444444444,0.962962962962963,1,1,1,1
"Albrecht_15_2012_row_names",1,1,0.583333333333333,0.454545454545455,0.727272727272727,0.583333333333333,0.6,0.3,0.222222222222222,0,0.363636363636364,0.3,0.5,0.444444444444444,0.545454545454545,0.454545454545455,0.454545454545455,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,0.9375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.95,1,1,0.958333333333333,1,0.769230769230769,1,1,1,1,1,1,1,1,1,1,0.989949748743719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96969696969697,1,1,1,0.954545454545454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333,0.928571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0.84,0.928571428571429,0.84,0.823529411764706,1,1,1,1,1,1,0.95,0.96551724137931,1,1,1,1
