"species","networks"
"Abarema brachystachya","M_PL_074_08"
"Abarema jupunba","M_PL_074_04"
"Abelia grandiflora","M_PL_054"
"Abutilon darwinii","M_PL_074_01"
"Acer carpinifolium","M_PL_057"
"Acer insulae","M_PL_044"
"Acer japonicum","M_PL_056"
"Acer shirasawanum","M_PL_056"
"Acer ukurunduense","M_PL_056"
"Achillea alpina","M_PL_056"
"Achillea millefolium","M_PL_006; M_PL_019"
"Achyranthes bidentata","M_PL_057"
"Aciphylla glacialis","M_PL_019"
"Acnistus arborescens","M_PL_074_18"
"Aconitum japonicum montanum","M_PL_056"
"Aconitum senanense","M_PL_056"
"Acritopappus longifolius","M_PL_074_17"
"Actinidia arguta","M_PL_057"
"Actinidia rufa","M_PL_044"
"Adenophora triphylla","M_PL_055; M_PL_056"
"Aechmea aquilega","M_PL_074_04"
"Aechmea blumenavii","M_PL_069_01"
"Aechmea bromeliifolia","M_PL_074_09"
"Aechmea chantiniii","M_PL_071"
"Aechmea coelestis","M_PL_074_10; M_PL_074_13"
"Aechmea contracta","M_PL_071; M_PL_074_06"
"Aechmea corymbosa","M_PL_071"
"Aechmea dichlamydea","M_PL_074_04"
"Aechmea distichantha","M_PL_063; M_PL_074_07; M_PL_074_08; M_PL_074_13"
"Aechmea fendleri","M_PL_074_04"
"Aechmea gamosepala","M_PL_063"
"Aechmea lamarchei","M_PL_074_17"
"Aechmea nudicaulis","M_PL_063; M_PL_074_04; M_PL_074_07; M_PL_074_08; M_PL_074_10; M_PL_074_13"
"Aechmea ornata","M_PL_074_10"
"Aechmea pectinata","M_PL_074_07; M_PL_074_08; M_PL_074_10; M_PL_074_13"
"Aechmea phanerophlebia","M_PL_074_09"
"Aechmea rubiginosa","M_PL_071"
"Aechmea vanhoutteana","M_PL_063"
"Aechmea williamsii","M_PL_074_06"
"Aeginetia indica","M_PL_044"
"Aegiphila perplexa","M_PL_074_04"
"Aeschynomene indica","M_PL_055"
"Aesculus camea","M_PL_054"
"Aesculus sylvatica","M_PL_025"
"Aetheorrina bulbosa","M_PL_058"
"Aethusa cynapium","M_PL_017"
"Agalinis angustifolia","M_PL_074_09; M_PL_074_17"
"Agarista coriifolia","M_PL_074_17"
"Agauria salicifolia","M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_07"
"Ageratum houstonianum","M_PL_044"
"Agrimonia eupatoria","M_PL_017"
"Agrimonia pilosa","M_PL_057"
"Agrostis clavata","M_PL_056"
"Ajuga dictyocarpa","M_PL_044"
"Akebia quinata","M_PL_057"
"Alangium platanifolium","M_PL_057"
"Albizia pedicellaris","M_PL_074_08"
"Albizia saman","M_PL_074_04"
"Albizzia julibrissin","M_PL_057"
"Alisma canaliculatum","M_PL_055"
"Alium grayi","M_PL_055"
"Allamanda blanchetii","M_PL_067"
"Alloplectus savanarum","M_PL_071"
"Alocasia odora","M_PL_044"
"Alpinia formosana","M_PL_044"
"Alpinia intermedia","M_PL_044"
"Alstonia macrophylla","M_PL_061_07; M_PL_061_29; M_PL_061_47"
"Alstroemeria aurea","M_PL_051"
"Alstroemeria inodora","M_PL_063"
"Alyssum maritimum","M_PL_058"
"Amasonia arborea","M_PL_071"
"Ampelopsis brevipedunculata","M_PL_044; M_PL_055; M_PL_057"
"Amphicarpaea bracteata","M_PL_057"
"Amphilophium elongatum","M_PL_074_11"
"Anadenanthera macrocarpa","M_PL_067"
"Anaphalis margaritacea","M_PL_056"
"Andromeda glaucophylla","M_PL_033"
"Angelica polymorpha","M_PL_056; M_PL_057"
"Angelica pubescens","M_PL_056; M_PL_057"
"Angelica sylvestris","M_PL_017"
"Antidesma joponicum","M_PL_044"
"Antidesma madagascariense","M_PL_060_04; M_PL_060_05; M_PL_060_07; M_PL_060_09; M_PL_060_19; M_PL_060_20"
"Antirhea borbonica","M_PL_060_01; M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_14; M_PL_060_15; M_PL_060_16; M_PL_060_17"
"Aphelandra colorata","M_PL_063"
"Aphelandra longiflora","M_PL_063"
"Aphelandra macrostachya","M_PL_071"
"Aphloia theiformis","M_PL_060_01; M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_08; M_PL_060_09; M_PL_060_12; M_PL_060_14; M_PL_060_15; M_PL_060_16; M_PL_060_17; M_PL_060_18; M_PL_060_21; M_PL_060_22; M_PL_060_23; M_PL_060_24; M_PL_061_18; M_PL_061_19; M_PL_061_20; M_PL_061_22"
"Apocynum cannabinum","M_PL_073"
"Aquilegia buergeriana","M_PL_056"
"Arabis hirsuta","M_PL_056"
"Arabis lyrata kamtschatica","M_PL_056"
"Arachnothryx gonzaleoides","M_PL_074_14"
"Aralia cordata","M_PL_057"
"Aralia nudicaulis","M_PL_004"
"Aralta elata","M_PL_057"
"Ardisia nigrescens","M_PL_074_15"
"Ardisia pusilla","M_PL_044"
"Ardisia quinquegona","M_PL_044"
"Ardisia sieboldii","M_PL_044"
"Aristotelia chilensis","M_PL_051"
"Arnica alpina","M_PL_024"
"Aronia melanocarpa","M_PL_033"
"Arpophyllum giganteum","M_PL_074_15"
"Asclepias cucullata","M_PL_013"
"Asclepias syriaca","M_PL_073"
"Asclepias woodii","M_PL_013"
"Asperula gunnii","M_PL_019"
"Aspidonepsis diploglossa","M_PL_013"
"Aspilia foliosa","M_PL_074_09"
"Aster ageratoides","M_PL_054; M_PL_057"
"Aster ageratoides amplexifolius","M_PL_056; M_PL_057"
"Aster ageratoides ovatus","M_PL_056; M_PL_057"
"Aster asa-grayi","M_PL_044"
"Aster glehni","M_PL_056; M_PL_057"
"Aster subulatus","M_PL_057"
"Astilbe thunbergii","M_PL_056; M_PL_057"
"Astragalus sinicus","M_PL_054"
"Aucuba japonica","M_PL_054"
"Baccharis trimera","M_PL_054"
"Badula insularis","M_PL_060_12; M_PL_060_24"
"Badula platiphylla","M_PL_060_06; M_PL_060_07; M_PL_060_18; M_PL_060_19"
"Baeckia gunniana","M_PL_019"
"Bakerella hoyifolia","M_PL_060_07"
"Banisteriopsis muricata","M_PL_059"
"Banisteriopsis schizoptera","M_PL_059"
"Banisteriopsis stellaris","M_PL_059"
"Barbacenia flava","M_PL_074_09; M_PL_074_17"
"Barbacenia gardneri","M_PL_074_09"
"Barbacenia gentianoides","M_PL_074_17"
"Barbacenia longiflora","M_PL_074_09"
"Barbacenia luzulifolia","M_PL_074_17"
"Barnadesia spinosa","M_PL_068"
"Barringtonia racemosa","M_PL_044"
"Bauhinia brevipes","M_PL_074_11"
"Bauhinia cheilantha","M_PL_067"
"Bauhinia japonica","M_PL_044"
"Bauhinia rufa","M_PL_074_11"
"Bejaria aestuans","M_PL_068; M_PL_074_14"
"Belamcanda chinensis","M_PL_044"
"Berberis buxifolia","M_PL_051"
"Berberis darwinii","M_PL_051"
"Berberis lutea","M_PL_074_12"
"Berberis thunbergii","M_PL_054"
"Bertiera zaluzania","M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_15; M_PL_060_16; M_PL_060_17"
"Besella rubra","M_PL_054"
"Besleria longimucronata","M_PL_063; M_PL_074_18"
"Besleria riparia","M_PL_074_03"
"Besleria solanoides","M_PL_074_01; M_PL_074_02; M_PL_074_03; M_PL_074_16"
"Bidens frondosa","M_PL_055"
"Bidens pilosa","M_PL_044"
"Billbergia amoena","M_PL_063; M_PL_069_01; M_PL_074_17"
"Billbergia decora","M_PL_071"
"Billbergia porteana","M_PL_074_11"
"Billbergia pyramidalis","M_PL_074_04; M_PL_074_07; M_PL_074_08; M_PL_074_13"
"Billbergia vittata","M_PL_074_17"
"Bistorta tenuicaulis","M_PL_057"
