species,networks,Taxonomy,Notes
Abelia sp1 M_PL_054,M_PL_054,Genus,
Aechmea sp1 M_PL_063,M_PL_063,Genus,
Alloplectus sp1 M_PL_074_01,M_PL_074_01,Genus,
Alpinia sp1 M_PL_044,M_PL_044,Genus,
Apocynaceae sp1 M_PL_074_10,M_PL_074_10,Family,
Arrabidaea sp1 M_PL_074_08,M_PL_074_08,Genus,
Bomarea sp1 M_PL_068,M_PL_068,Genus,
Bomarea sp1 M_PL_074_16,M_PL_074_16,Genus,
Bougainvillea sp1 M_PL_074_01,M_PL_074_01,Genus,
Brachycome sp1 M_PL_019,M_PL_019,Genus,
Brachyotum sp1 M_PL_068,M_PL_068,Genus,
Bromelia sp1 M_PL_071,M_PL_071,Genus,
Burmeistera sp1 M_PL_074_01,M_PL_074_01,Genus,
Canna sp1 M_PL_074_01,M_PL_074_01,Genus,
Carpobrotus sp1 M_PL_058,M_PL_058,Genus,
Cavendishia sp1 M_PL_074_03,M_PL_074_03,Genus,
Centropogon sp1 M_PL_068,M_PL_068,Genus,
Centropogon sp3 M_PL_074_01,M_PL_074_01,Genus,
Cestrum sp1 M_PL_074_01,M_PL_074_01,Genus,
Citrus sp1 M_PL_074_04,M_PL_074_04,Genus,
Clusia sp4 M_PL_074_01,M_PL_074_01,Genus,
Columnea sp3 M_PL_074_03,M_PL_074_03,Genus,
Costus sp1 M_PL_074_04,M_PL_074_04,Genus,
Costus sp1 M_PL_074_16,M_PL_074_16,Genus,
Craspedia sp1 M_PL_019,M_PL_019,Genus,
Diplostephium sp1 M_PL_068,M_PL_068,Genus,
Disterigma sp1 M_PL_068,M_PL_068,Genus,
Disterigma sp1 M_PL_074_12,M_PL_074_12,Genus,
Dyckia sp1 M_PL_074_17,M_PL_074_17,Genus,
Elleanthus sp1 M_PL_068,M_PL_068,Genus,
Ericaceae sp1 M_PL_074_01,M_PL_074_01,Family,
Erythrina sp1 M_PL_074_01,M_PL_074_01,Genus,
Espeletia sp1 M_PL_068,M_PL_068,Genus,
Furcraea sp1 M_PL_074_01,M_PL_074_01,Genus,
Gaertnera sp1 M_PL_066,M_PL_060_07,Genus,
Gaertnera sp1 M_PL_067,M_PL_060_08,Genus,
Gaertnera sp1 M_PL_068,M_PL_060_09,Genus,
Gaertnera sp1 M_PL_069,M_PL_060_10,Genus,
Gaertnera sp1 M_PL_070,M_PL_060_11,Genus,
Gaertnera sp1 M_PL_077,M_PL_060_18,Genus,
Gaertnera sp1 M_PL_078,M_PL_060_19,Genus,
Gaertnera sp1 M_PL_079,M_PL_060_20,Genus,
Gaertnera sp1 M_PL_080,M_PL_060_21,Genus,
Gaertnera sp1 M_PL_081,M_PL_060_22,Genus,
Gaertnera sp1 M_PL_082,M_PL_060_23,Genus,
Gasteranthus sp1 M_PL_074_01,M_PL_074_01,Genus,
Gesneriaceae sp1 M_PL_074_01,M_PL_074_01,Family,
Gesneriaceae sp2 M_PL_074_01,M_PL_074_01,Family,
Gesneriaceae sp3 M_PL_074_01,M_PL_074_01,Family,
Gesneriaceae sp4 M_PL_074_06,M_PL_074_06,Family,
Guzmania sp1 M_PL_074_01,M_PL_074_01,Genus,
Guzmania sp1 M_PL_074_16,M_PL_074_16,Genus,
Guzmania sp2 M_PL_074_01,M_PL_074_01,Genus,
Heliconia sp1 M_PL_071,M_PL_071,Genus,
Heliconia sp2 M_PL_074_01,M_PL_074_01,Genus,
Heliconia sp4 M_PL_074_10,M_PL_074_10,Genus,
Heliconia sp6 M_PL_074_04,M_PL_074_04,Genus,
Heliconia sp7 M_PL_074_03,M_PL_074_03,Genus,
Heteropterys sp1 M_PL_059,M_PL_059,Genus,
Heteropterys sp2 M_PL_059,M_PL_059,Genus,
Hyptis sp1 M_PL_074_17,M_PL_074_17,Genus,
Impatiens sp1 M_PL_074_01,M_PL_074_01,Genus,
Inga sp2 M_PL_074_01,M_PL_074_01,Genus,
Inga sp3 M_PL_074_04,M_PL_074_04,Genus,
Ipomea sp1 M_PL_069_01,M_PL_069_01,Genus,
Ipomoea sp1 M_PL_067,M_PL_067,Genus,
Iridaceae sp1 M_PL_074_01,M_PL_074_01,Family,
Justicia sp1 M_PL_063,M_PL_063,Genus,
Justicia sp2 M_PL_063,M_PL_063,Genus,
Justicia sp3 M_PL_074_04,M_PL_074_04,Genus,
