"species","networks"
"Acacia auriculiformis","Kamruzzaman_2008"
"Acacia cyclops","Castley_2001"
"Acacia mangium","Lima_2016"
"Acacia melanoxylon","Cruz_2013_Winter; M_SD_031"
"Achillea millefolium","Jaroszewicz_2013"
"Acnistus arborescens","Athie_2009; Novoa_2011"
"Acrocarpus fraxinifolius","Suzuki_2007"
"Acronychia pedunculata","Suzuki_2007"
"Actinidia arguta","Noma_1997"
"Actinidia callosa","Chen_1999"
"Actinodaphne hookeri","VELHO; VELHO2"
"Adansonia digitata","Engel_2000"
"Adenanthera pavonina","Engel_2000"
"Adinandra formosana","Chen_1999"
"Aechmea aquilega","M_SD_010_single_partners_added"
"Aechmea bracteata","Castro_Luna_2012; Santiago_2014_far_from_remnant"
"Aechmea dichlamydea","M_SD_010_single_partners_added"
"Aechmea distichantha","Blendinger_2015"
"Aechmea fendleri","M_SD_010_single_partners_added"
"Aechmea mertensii","M_SD_010_single_partners_added"
"Aechmea nudicaulis","M_SD_010_single_partners_added"
"Aegiphila integrifolia","M_SD_010_single_partners_added"
"Aegiphila sellowiana","Fadini_2004"
"Afzelia quanzensis","Engel_2000"
"Agelanthus sansibarensis","Engel_2000"
"Aglaia lawii","Suzuki_2007"
"Aglaia mariannensis","Fricke_2018_Saipan"
"Aglaia spectabilis","Sethi_2012; Suzuki_2007"
"Agrostis canina","Jaroszewicz_2013"
"Agrostis capillaris","Jaroszewicz_2013"
"Agrostis gigantea","Jaroszewicz_2013"
"Agrostis stolonifera","Jaroszewicz_2013"
"Aiouea saligna","Castro_2015"
"Alangium salviifolium","David_2011_tree_focal_watches"
"Albertisia undulata","Engel_2000"
"Alchornea costaricensis","Blake_1992"
"Alchornea discolor","Correa_2016_Apaporis"
"Alchornea fluviatilis","Correa_2016_Caqueta"
"Alchornea glandulosa","M_SD_010_single_partners_added; Machado_de_Souza_2019"
"Alchornea latifolia","Garcia_Estrada_2012; M_SD_003; M_SD_004; M_SD_005; M_SD_006"
"Alchornea sidifolia","Athie_2009"
"Alchornea triplinervia","Castro_2015; Faustino_2006; Gorchov_1995; Machado_de_Souza_2019; SAAV1; SAAV2"
"Alectryon excelsus","Williams_1996_Marsden"
"Aleurites moluccanus","Engel_2000"
"Allophylus abyssinicus","M_SD_034"
"Allophylus edulis","Andrade_2011; Blendinger_2015; Fadini_2004"
"Allophylus pervillei","Engel_2000"
"Alnus glutinosa","Jaroszewicz_2013"
"Alopecurus geniculatus","Jaroszewicz_2013"
"Alopecurus pratensis","Jaroszewicz_2013"
