species,networks,Taxonomy
Abutilon Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Acacia Suzuki2007 unidsp 1,Suzuki_2007,Genus
Actinidia Koike2008 unidsp mult,Koike_2008,Genus
Ageratum Garcia-Estrada2012 unidsp 423,Garcia_Estrada_2012,Genus
Aglaia sp1 M_SD_002,M_SD_002,Genus
Akebia Koike2008 unidsp mult,Koike_2008,Genus
Alchornea Engel2000 unidsp 1,Engel_2000,Genus
Alchornea Quitian2018 unidsp 100,Quitian_2018_1000Natural,Genus
Aldama Garcia-Estrada2012 unidsp 50,Garcia_Estrada_2012,Genus
Allophylus Quitian2018 unidsp 200,Quitian_2018_2000Fragmented,Genus
Amaranthaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Annona Lopez& unidsp 866,Lopez_and_Vaughn_2004,Genus
Annonaceae Correa2016 unidsp 1,Correa_2016_Apaporis,Family
Annonaceae Engel2000 unidsp 1,Engel_2000,Family
Annonaceae Engel2000 unidsp 2,Engel_2000,Family
Annonaceae Engel2000 unidsp 3,Engel_2000,Family
Annonaceae Engel2000 unidsp 4,Engel_2000,Family
Annonaceae Engel2000 unidsp 5,Engel_2000,Family
Anthurium Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Anthurium Arias-Arone2016 unidsp 2,Arias_Arone_2016,Genus
Anthurium Arias-Arone2016 unidsp 3,Arias_Arone_2016,Genus
Anthurium Blake1992 unidsp 1,Blake_1992,Genus
Anthurium Castano2018 unidsp 1,Castano_2018,Genus
Anthurium Castro-Luna2012 unidsp 968,Castro_Luna_2012,Genus
Anthurium Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Anthurium Gorchov1995 unidsp 1,Gorchov_1995,Genus
Anthurium Lopez& unidsp 377,Lopez_and_Vaughn_2004,Genus
Anthurium Wolfe2014 unidsp mult,Wolfe_2014,Genus
Anthurium Zamora-Delgado2008 unidsp 760,Zamora_Delgado_2008,Genus
Aporosa Kamruzzaman2008 unidsp 906,Kamruzzaman_2008,Genus
Aporusa sp1 M_SD_002,M_SD_002,Genus
Araceae Correa2016 unidsp 1,Correa_2016_Caqueta,Family
Araceae Correa2016 unidsp 499,Correa_2016_Apaporis,Family
Araceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Araceae Lima2016 unidsp 86,Lima_2016,Family
Asplundia Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Asteliaceae Arias-Arone2016 unidsp 1,Arias_Arone_2016,Family
Asystasia Engel2000 unidsp 1,Engel_2000,Genus
Aureliana Passos2003 unidsp 1,Passos_2003,Genus
Betula Jaroszewicz2013 unidsp 961,Jaroszewicz_2013,Genus
Bocageopsis Correa2016 unidsp 402,Correa_2016_Apaporis,Genus
Bromeliaceae Machado-de-Souza2019 unidsp 323,Machado_de_Souza_2019,Family
Byrsonima Correa2016 unidsp 227,Correa_2016_Apaporis,Genus
Byrsonima DosReis unidsp 1,Dos_Reis_1983_Cult_et_form_sec,Genus
Cactaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Calophyllum Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Campomanesia Lessa2013 unidsp 335,Lessa_2013,Genus
Canthium Engel2000 unidsp 1,Engel_2000,Genus
Canthium Engel2000 unidsp 2,Engel_2000,Genus
Canthium Engel2000 unidsp 3,Engel_2000,Genus
Canthium Engel2000 unidsp 4,Engel_2000,Genus
Canthium sp1 M_SD_002,M_SD_002,Genus
Carex Jaroszewicz2013 unidsp 793,Jaroszewicz_2013,Genus
Cavendishia Zamora-Delgado2008 unidsp 325,Zamora_Delgado_2008,Genus
Cecropia Andrade2011 unidsp 729,Andrade_2011,Genus
Cecropia Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 2,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 3,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 4,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 5,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 6,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 7,Arias_Arone_2016,Genus
Cecropia Athie2009 unidsp mult,Athie_2009,Genus
Cecropia Brito2010 unidsp 42,Brito_2010,Genus
Cecropia Carvalho2008 unidsp 1,Carvalho_2008,Genus
Cecropia Correa2016 unidsp 2,Correa_2016_Caqueta,Genus
Cecropia Correa2016 unidsp 3,Correa_2016_Caqueta,Genus
Cecropia Hayashi1996 unidsp 369,Hayashi_1996,Genus
Cecropia Lima2016 unidsp 653,Lima_2016,Genus
Cecropia Novoa2011 unidsp 498,Novoa_2011,Genus
Cecropia Quitian2018 unidsp 100,Quitian_2018_1000Fragmented,Genus
Cecropia Quitian2018 unidsp 101,Quitian_2018_1000Fragmented; Quitian_2018_1000Natural,Genus
Cecropia Quitian2018 unidsp 102,Quitian_2018_1000Fragmented,Genus
Cecropia SAAV1NA unidsp 487,SAAV1,Genus
Cecropia Santiago2014 unidsp 1,Santiago_2014_close_to_remnant; Santiago_2014_far_from_remnant,Genus
Cecropia deOliveira unidsp 2,de_Oliveira_1999,Genus
Celastraceae Correa2016 unidsp 721,Correa_2016_Apaporis,Family
Centropogon Castano2018 unidsp 1,Castano_2018,Genus
Cerastium sp1 M_SD_031,M_SD_031,Genus
Cestrum Preciado-Benitez2015 unidsp 1,Preciado_Benitez_2015,Genus
Cestrum sp1 M_SD_012,M_SD_012,Genus
Chenopodium Castley2001 unidsp 803,Castley_2001,Genus
Chiococca Andrade2011 unidsp 600,Andrade_2011,Genus
Chisocheton sp1 M_SD_002,M_SD_002,Genus
Chrysophyllum Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Cissampelos Blake1992 unidsp 713,Blake_1992,Genus
Citrus Nogales2017 unidsp 624,Nogales_2017,Genus
Citrus Suzuki2007 unidsp 1,Suzuki_2007,Genus
Clidemia M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Clidemia Wolfe2014 unidsp mult,Wolfe_2014,Genus
Clusia Blake1992 unidsp 110,Blake_1992,Genus
Clusia Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Clusia Correa2016 unidsp 2,Correa_2016_Caqueta,Genus
Clusia Correa2016 unidsp 914,Correa_2016_Apaporis,Genus
Clusia DosReis unidsp 1,Dos_Reis_1983_Cult_et_form_sec,Genus
Clusia Gorchov1995 unidsp 1,Gorchov_1995,Genus
Clusia M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Clusiaceae Aguiar2007 unidsp mult,Aguiar_2007,Family
Clusiaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Coccocypselum Santiago2014 unidsp 1,Santiago_2014_close_to_remnant,Genus
Coccoloba Malaccoda unidsp 152,Malacco_da_Silva_2014,Genus
Codonanthe Gorchov1995 unidsp 15,Gorchov_1995,Genus
Coffea DosReis unidsp 1,Dos_Reis_1983_Cult_et_form_sec,Genus
Columnea Castano2018 unidsp 1,Castano_2018,Genus
Conceveiba Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Conostegia Blake1992 unidsp 514,Blake_1992,Genus
Coprosma Odonnell1994 unidsp 1,Odonnell_1994,Genus
Cordia sp1 M_SD_012,M_SD_012,Genus
Cornus Labbe2011 unidsp 340,Labbe_2011,Genus
Coussapoa Gorchov1995 unidsp 1,Gorchov_1995,Genus
Coussarea Dehling2017 unidsp 1,Dehling_2017_San_Pedro_2,Genus
Coussarea SAAV2NA unidsp 528,SAAV2,Genus
Cryptocarya Pratt1985 unidsp 1,Pratt_1985,Genus
Cryptocarya Pratt1985 unidsp 2,Pratt_1985,Genus
Cuatresia Zamora-Delgado2008 unidsp 444,Zamora_Delgado_2008,Genus
Cucumis Engel2000 unidsp 1,Engel_2000,Genus
Cucurbitaceae Correa2016 unidsp 1,Correa_2016_Apaporis; Correa_2016_Caqueta,Family
Cucurbitaceae Gomes2013 unidsp 32,Gomes_2013,Family
Cucurbitaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Cupania M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Cupania deOliveira unidsp 516,de_Oliveira_1999,Genus
